State,Airport,OPID,A_Type,Type_ENG,Species,Damage,AC_Mass,Num_ENGS,Month,Year,Time,Height,Speed,Phase,Sky,Precip,Birds_Seen,Birds_Struck,Size
MD,KBWI,UAL,B-757-200,D,Unknown bird,0,4,2,5,2000,,1400,,Approach,,,1,1,Medium
MD,KBWI,PDT,DHC8 DASH 8,C,Gulls,0,3,2,5,2000,Day,0,110,Take-off run,Some Cloud,None,1,1,Medium
MD,KBWI,USA,B-737-400,D,Unknown bird,0,4,2,4,2000,Day,100,140,Climb,No Cloud,None,1,1,Small
MD,KHGR,CHQ,SAAB-340,C,Gulls,1,3,2,4,2000,Day,500,140,Climb,Some Cloud,Rain,2 to 10,2 to 10,Medium
MD,KBWI,NWA,B-757-200,D,Unknown bird,0,4,2,4,2000,,2500,,Climb,,,1,1,Medium
MD,KBWI,AMT,L-1011,D,Unknown bird,1,4,3,4,2000,,,,Climb,,,,1,Medium
MD,KBWI,NWA,DC-9-30,D,Blackbirds,0,4,2,3,2000,Day,600,180,Climb,Overcast,None,2 to 10,2 to 10,Small
MD,KBWI,USA,A-319,D,Unknown bird,0,4,2,2,2000,Night,0,,Take-off run,No Cloud,None,1,1,Medium
MD,KBWI,ALO,DHC8 DASH 8,C,Unknown bird,0,3,2,1,2000,Day,5,100,Climb,Overcast,None,1,1,Medium
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,1,2000,Day,50,170,Climb,No Cloud,,1,1,Medium
